"STUID","YEAR","GENDER","RACETHN","MAJOR","DISTANCE","HS_GPA","COLLEGE_GPA","FIRST_GEN","ACT01","ACT02","ACT03","ACT04","ACT05","ACT06","ACT07","ACT08","ACT09","ACT10","ACT11","ACT12","ACT13","RATE1","RATE2","RATE3","RATE4","RATE5","RATE6","RATE7","AGREE_01","AGREE_02","AGREE_03","AGREE_04","AGREE_05","AGREE_06","AGREE_07","AGREE_08","AGREE_09"
"IfWfpI","2012","female",2,"6","4",8,7,"1",2,3,2,1,1,2,2,1,3,2,1,1,3,4,2,4,2,2,1,1,5,4,1,1,2,3,1,2,3
"ayfFiv","2012","female",4,"4","6",4,3,"1",1,2,1,2,3,1,3,3,1,2,1,1,1,3,2,4,3,3,1,1,6,3,2,2,1,4,1,5,2
"9UKOit","2013","female",6,"4","4",8,4,"1",2,2,2,1,3,2,2,1,2,1,1,2,1,2,2,1,1,3,2,2,4,3,4,2,4,3,5,4,3
"mK8Scg","2014","female",6,"6","3",7,5,"1",2,2,2,3,2,3,1,3,2,2,1,2,1,2,1,1,1,1,1,1,2,4,5,1,2,2,2,4,5
"A9KS0a","2012","female",6,"3","5",8,7,"1",2,1,3,1,3,3,1,2,3,2,2,2,2,4,1,4,3,3,3,4,3,2,3,3,3,5,2,1,3
"WYj6cy","2015","male",6,"6","2",NA,4,"2",2,2,2,2,2,1,1,1,2,1,3,1,1,4,3,1,2,1,1,2,1,2,5,4,5,3,2,5,3
"vtH3eM","2013","male",6,"4","5",8,4,"1",2,2,2,1,3,3,1,1,1,2,2,2,2,3,2,2,2,3,4,3,1,3,5,5,3,4,2,4,2
"IbhWH0","2012","female",6,"5","5",7,6,"1",2,1,1,3,1,2,2,2,3,3,2,2,3,3,2,2,1,3,2,3,3,1,5,1,1,2,5,4,2
"IfCkA7","2015","male",6,"6","4",7,5,"1",1,1,1,1,2,1,2,3,3,2,1,1,3,2,1,1,3,2,4,1,3,1,2,3,3,1,2,2,3
"x9NJyw","2013","female",6,"4","4",7,5,"1",3,1,1,2,1,2,1,1,1,3,1,2,2,4,3,1,4,3,2,2,4,2,2,1,1,3,4,4,4
"D1XhZY","2014","female",6,"3","5",8,7,"1",1,2,1,1,2,3,3,2,1,1,2,3,2,4,4,2,2,2,3,2,2,1,2,3,2,5,2,1,2
"voBjm6","2012","male",6,"6","5",8,6,"1",2,1,1,3,1,2,1,1,2,2,1,1,2,2,3,2,1,2,2,1,2,5,4,3,3,1,5,2,1
"0hkuDX","2012","male",4,"5","4",6,5,"1",3,2,2,2,2,3,2,2,2,2,1,1,1,2,2,3,4,4,3,3,2,3,3,1,3,1,3,1,1
"ioyTN5","2012","male",6,"3","4",7,5,"1",1,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,1,1,4,2,4,3,5,1,2,5,4,2,1
"kao4xa","2013","female",2,"6","4",8,7,"1",3,3,2,2,1,1,3,2,2,2,1,3,2,4,1,1,2,4,2,1,3,5,1,2,4,2,1,4,1
"j2AJkc","2012","female",6,"3","4",8,6,"1",2,2,1,3,1,1,2,2,1,2,1,1,2,2,4,4,1,2,1,1,3,3,2,3,2,5,1,2,5
"Wcjms5","2015","male",6,"6","5",NA,3,"2",1,2,1,1,1,1,1,2,1,2,2,1,2,3,1,4,4,4,2,2,5,5,5,1,3,3,3,4,5
"inH8Hh","2014","female",6,"6","4",5,5,"1",3,3,1,1,2,2,2,2,1,1,2,1,3,3,1,2,4,3,3,3,3,4,3,3,1,1,1,3,5
"iC9RNi","2013","female",4,"3","2",8,3,"1",2,1,1,2,2,2,2,3,2,2,1,1,1,4,3,4,2,2,4,3,2,1,1,5,4,3,2,3,4
"zj8K3m","2014","female",6,"5","5",8,7,"1",2,1,2,2,3,3,1,3,2,1,2,3,1,1,2,1,1,2,1,3,1,4,3,1,4,2,1,2,2
"2RJ6Or","2012","male",6,"6","4",6,8,"1",2,2,2,2,2,3,2,1,1,1,1,3,1,1,2,4,3,2,2,2,3,4,2,4,3,2,4,2,2
"6l5t7V","2014","male",2,"6","5",8,4,"1",1,1,1,2,1,2,2,1,1,2,1,1,1,3,2,2,3,1,3,2,5,5,4,1,5,1,5,3,2
"MVN9d6","2015","female",2,"6","4",8,7,"1",2,3,1,1,2,2,1,3,3,2,2,3,2,1,2,2,1,2,3,3,1,3,2,2,2,1,2,1,5
"paghok","2012","male",6,"3","6",7,6,"1",2,3,2,1,1,2,3,2,2,1,3,1,2,3,1,1,1,3,4,3,2,2,3,1,5,5,1,3,2
"lzubaB","2014","female",3,"6","4",8,7,"1",2,1,1,1,1,1,1,3,1,2,1,1,2,3,4,3,1,3,1,2,2,4,4,3,3,2,2,4,2
"Jw2NPq","2013","male",6,"3","5",7,6,"1",2,1,1,2,3,2,2,1,2,2,3,1,1,1,2,3,1,4,1,4,1,1,1,4,4,2,4,2,3
"dTau0x","2015","female",6,"5","2",7,6,"1",1,2,2,1,2,1,3,1,3,3,3,1,1,2,2,3,1,4,2,3,4,3,4,2,3,3,1,1,2
"IegS9y","2012","female",6,"4","5",6,6,"1",1,3,1,2,3,2,3,2,2,1,2,1,3,3,1,3,3,4,1,4,2,5,1,1,3,2,5,2,2
"uIebkh","2014","male",6,"6","2",NA,6,"2",2,1,2,1,2,2,1,1,2,2,1,1,1,3,3,2,2,1,4,5,1,1,1,1,1,2,1,5,3
"5S3DAp","2012","male",2,"6","5",8,8,"1",1,2,1,2,1,1,2,1,2,2,1,2,3,4,1,1,5,3,2,1,2,4,3,1,1,2,4,3,4
"CX2shl","2013","male",2,"6","5",NA,7,"2",2,1,1,1,1,1,2,1,1,3,2,2,2,1,4,3,3,4,3,3,1,4,5,2,5,4,2,5,2
"HJdFZR","2014","male",6,"5","5",6,4,"1",1,1,1,2,1,1,2,2,3,3,2,1,3,4,4,2,3,4,4,3,4,4,3,3,3,3,2,1,2
"0ot8Ca","2013","female",6,"5","2",8,8,"1",2,2,1,3,2,1,1,1,1,1,3,2,2,1,3,3,1,4,1,4,2,3,3,4,5,2,5,3,2
"OQ8rCT","2014","male",6,"5","5",8,7,"1",2,1,2,1,1,2,1,1,1,1,1,3,2,2,4,2,3,3,3,4,3,1,1,1,3,3,2,2,3
"hkwEYh","2013","male",6,"3","2",4,2,"1",2,2,2,1,2,3,2,2,2,2,1,1,2,2,1,3,3,2,3,1,2,3,3,4,2,3,4,1,2
"oqRVen","2015","male",4,"3","5",4,3,"1",1,1,3,1,1,2,3,2,1,1,1,1,2,1,2,4,1,1,1,1,1,1,1,2,5,1,4,2,4
"1M8VtT","2014","male",6,"3","5",6,4,"1",2,2,1,1,1,2,1,1,1,3,1,1,2,1,1,3,3,3,3,2,3,2,3,1,1,5,5,2,2
"250Rnd","2013","female",6,"5","5",8,7,"1",1,2,1,1,1,1,1,1,2,3,3,1,1,3,3,1,2,2,2,4,4,5,2,2,3,3,5,2,2
"m13YAk","2014","male",6,"3","4",8,6,"1",1,1,2,2,2,2,2,2,2,2,1,3,2,3,3,1,3,1,4,1,2,3,2,5,4,4,4,1,4
"DRFvnI","2014","female",4,"6","5",8,6,"1",2,1,1,1,2,3,2,1,1,2,1,2,2,1,4,2,1,1,2,2,5,5,5,2,1,2,1,3,3
"egFNJZ","2012","female",6,"4",NA,8,4,"1",2,1,2,2,3,2,2,3,3,2,1,3,2,1,4,1,1,2,2,4,3,3,1,3,3,1,3,1,5
"RPV2Wh","2012","female",6,"5","4",8,8,"1",2,1,2,2,2,2,2,3,2,1,1,1,1,2,2,3,2,3,1,3,1,2,3,3,4,1,4,5,3
"NLFrVv","2013","female",2,"3","3",8,6,"1",2,1,2,1,2,3,2,1,2,3,3,2,2,3,1,1,3,5,4,4,3,2,4,3,1,5,5,2,2
"dKCofr","2015","female",6,"3",NA,8,4,"1",3,3,1,2,2,1,1,3,1,2,1,1,2,2,4,2,2,3,2,3,5,4,5,3,4,5,5,2,2
"LdsuEf","2014","female",6,"3","2",8,6,"1",1,1,2,3,1,2,1,2,2,2,2,1,2,3,2,3,4,3,3,1,4,2,3,4,2,4,5,4,2
"z00FMI","2012","male",6,"3","5",7,6,"1",2,3,1,2,1,1,2,3,1,1,2,2,2,3,2,3,1,4,3,1,1,1,1,2,1,3,5,2,1
"ccYwX2","2015","female",6,"5","4",7,6,"1",2,2,2,2,1,1,1,3,1,1,1,2,1,3,4,2,2,1,3,2,4,4,3,3,2,3,1,2,3
"lCvWHB","2015","female",6,"6","5",8,6,"1",1,2,2,2,1,1,1,1,1,2,1,3,3,3,4,2,3,2,2,4,5,5,5,2,2,3,3,5,4
"dMrSx3","2012","female",6,"5","5",7,5,"1",3,1,1,2,1,1,2,1,3,3,1,1,3,1,2,1,2,3,3,1,2,3,2,3,3,1,2,1,5
"kV2fKf","2012","female",6,"6","5",8,5,"1",2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,1,3,3,3,3,1,4,1,3,4,3
"ihp9aw","2013","female",6,"5","5",NA,6,"2",3,1,1,2,1,1,2,2,1,3,1,1,2,2,4,1,3,3,2,1,3,4,3,3,1,3,4,3,3
"9sOmmQ","2013","female",6,"4","5",8,8,"1",3,2,3,1,1,1,2,2,1,2,1,1,1,3,3,2,3,4,3,1,3,4,6,3,3,5,3,3,2
"y0kVT1","2014","male",6,"5","5",8,3,"1",3,2,2,3,2,2,2,2,2,3,2,1,2,1,3,3,2,1,2,4,2,3,3,3,4,1,4,3,4
"ozTgy2","2015","female",6,"4","5",8,6,"1",2,2,1,1,2,2,2,3,2,1,2,2,2,1,2,2,4,2,2,3,1,5,2,3,3,3,2,1,2
"MhP4ue","2013","female",6,"4","5",6,4,"1",1,1,2,3,3,3,1,2,3,2,1,3,2,4,3,2,3,3,1,3,4,2,3,1,3,2,5,3,1
"l0uiqh","2015","female",6,"5","5",8,6,"1",1,1,1,2,3,2,2,2,2,2,1,2,1,1,3,4,4,2,3,1,2,5,5,1,2,3,3,2,1
"OinkMi","2015","male",4,"3","5",6,4,"1",3,3,1,2,1,1,3,3,1,1,1,2,1,2,2,2,3,3,2,2,1,1,1,1,3,4,3,3,2
"7um2qS","2012","female",6,"6","5",NA,8,"2",3,1,2,1,2,2,2,2,1,2,3,2,2,2,3,1,3,4,3,4,3,3,3,1,5,1,3,4,5
"PG0xZw","2014","female",7,"3",NA,8,5,"1",1,1,1,3,1,3,3,2,3,2,1,3,1,1,2,2,3,3,2,4,3,2,2,5,5,5,2,3,4
"wpDlm5","2012","female",6,"3","5",NA,4,"2",1,2,1,2,3,3,2,2,1,2,2,2,1,3,2,3,2,4,1,1,4,3,4,2,5,5,3,2,3
"vu0dkr","2014","male",4,"5","3",5,4,"1",2,2,2,1,3,1,1,1,2,1,2,1,1,2,1,3,4,1,2,3,1,3,1,2,2,1,2,3,2
"moU4J5","2015","female",6,"3","6",NA,7,"2",2,2,3,3,2,2,1,2,1,1,1,3,2,1,2,1,1,1,1,3,5,2,2,2,3,5,1,3,3
"7XUR7F","2014","female",3,"3","3",8,8,"1",1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,3,2,3,2,3,3,1,1,2,2,1,5,1,3
"dc7CLS","2015","female",2,"6","1",8,3,"1",2,1,2,1,1,1,2,2,1,1,1,1,3,3,2,4,3,1,1,3,2,3,2,2,3,1,2,2,4
"VIj4Ug","2012","female",6,"4","2",4,4,"1",2,1,3,1,1,2,1,1,3,3,1,1,2,3,1,2,3,4,2,1,2,4,5,3,1,4,1,4,4
"5GnSb1","2014","female",2,"4","6",8,6,"1",1,1,2,1,2,1,1,1,2,3,3,1,2,3,2,2,2,3,4,2,2,2,2,2,2,3,5,2,2
"NpXBTf","2015","female",3,"1","5",8,6,"1",2,2,2,1,3,1,3,1,1,1,2,2,2,2,3,3,1,3,4,2,1,1,2,1,4,5,4,2,2
"nEfnW5","2012","female",2,"4","3",5,5,"1",1,3,1,1,3,2,1,2,1,2,2,2,1,3,4,2,2,4,2,3,3,1,2,1,2,4,3,3,1
"ERTBqt","2013","female",6,"3",NA,8,6,"1",1,1,2,2,1,3,1,2,3,2,2,1,2,4,2,1,2,4,1,3,1,2,1,2,1,2,3,1,3
"1Uit8J","2015","female",2,"6","4",4,3,"1",1,1,2,2,1,1,1,2,2,3,2,1,1,1,3,3,1,2,2,1,5,5,5,3,3,1,2,3,2
"fbdxTg","2012","male",6,"6","4",NA,8,"2",2,2,2,2,2,1,2,1,2,2,2,1,2,1,3,1,1,3,1,2,4,5,4,2,1,5,1,4,5
"j5C9i8","2014","male",6,"4","5",8,5,"1",2,2,2,2,1,2,1,3,2,2,1,1,2,4,3,1,3,2,3,2,5,4,4,5,4,5,3,3,4
"Zoc4v3","2014","female",6,"3","5",7,6,"1",1,1,2,2,1,2,2,3,3,1,1,2,1,1,1,4,4,4,3,2,4,2,1,3,2,4,5,2,4
"Lulvsh","2014","male",6,"4","5",7,5,"1",2,1,1,1,2,1,3,3,2,2,1,3,2,2,3,3,1,3,4,3,1,2,1,4,3,2,2,1,3
"hqCHCj","2012","female",7,"3","3",NA,3,"2",1,3,3,2,3,1,1,1,1,1,2,1,1,2,1,3,2,3,3,2,1,2,2,2,2,3,2,1,2
"keLG5Q","2014","female",7,"3","5",8,6,"1",1,1,3,1,1,1,1,2,1,1,1,2,1,1,2,4,1,1,2,2,2,1,1,1,1,3,5,5,5
"NFSsaU","2013","female",6,"5","5",7,8,"1",2,1,2,1,1,1,3,3,1,2,1,1,1,2,1,2,2,4,1,2,2,2,2,2,5,2,1,3,5
"piJcec","2013","male",6,"6","2",7,5,"1",1,3,1,3,2,3,2,2,2,2,1,2,3,1,3,3,2,4,1,1,3,1,3,4,5,2,2,5,2
"FFYEXn","2015","male",6,"6","4",5,4,"1",1,1,1,1,1,1,3,2,1,1,1,2,1,1,3,3,1,3,2,2,1,3,2,3,2,1,3,5,3
"bqAKpk","2014","female",6,"2","3",7,6,"1",2,2,2,1,1,1,3,2,2,3,1,2,1,1,4,1,1,2,1,2,1,2,2,3,1,5,4,3,3
"DKle2s","2015","female",4,"5","4",8,8,"1",2,2,1,1,3,2,2,1,2,2,1,2,1,3,2,1,1,4,1,1,3,3,5,3,3,3,5,3,4
"9fsMJJ","2012","female",6,"4","3",7,6,"1",2,3,1,3,1,1,3,1,3,1,1,2,1,1,2,1,3,1,3,2,3,1,5,2,4,4,1,3,5
"1hExCx","2013","male",6,"6","4",4,3,"1",3,3,2,2,2,2,1,1,2,2,1,2,3,1,3,1,5,1,3,2,2,3,3,1,1,1,1,2,2
"I4NPAL","2014","male",2,"4","4",7,6,"1",3,1,2,1,2,2,2,2,3,2,2,2,2,3,2,1,1,2,2,3,2,1,3,5,5,3,5,1,3
"yQbIjN","2013","female",4,"5","4",NA,7,"2",2,2,2,1,1,3,3,1,3,2,2,1,1,1,2,1,2,3,3,3,4,5,4,2,3,4,1,3,2
"zX4PbK","2013","female",6,"6","5",8,7,"1",1,2,1,1,1,1,2,2,1,2,1,1,1,3,1,1,1,4,2,1,6,4,5,1,1,4,4,3,5
"vBGDaD","2014","male",6,"4","4",5,5,"1",1,1,1,2,2,1,3,1,2,3,2,1,1,1,3,1,3,4,3,2,2,1,2,1,1,3,1,1,4
"hy28sw","2012","female",6,"6","4",5,5,"1",1,2,2,2,1,3,3,1,2,2,1,2,1,3,1,3,1,3,1,1,4,4,1,3,3,1,3,3,3
"bdn98f","2012","male",6,"6","5",NA,5,"2",2,1,2,1,1,2,1,1,1,2,1,1,2,3,2,3,3,4,1,3,3,2,4,5,4,3,1,4,2
"8Xr4L7","2014","male",6,"2","5",6,4,"1",1,1,1,1,2,3,3,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,1,4,5,5,5,2,1
"ezB1tK","2013","female",6,"3","5",8,7,"1",1,3,1,3,1,2,1,2,1,1,2,1,2,1,2,2,3,3,3,2,5,2,1,3,1,4,5,3,2
"rnhrkU","2013","female",6,"3","5",NA,5,"2",1,1,1,1,2,2,1,1,1,3,2,2,2,1,3,1,2,3,4,2,4,3,1,4,4,3,5,2,1
"NAlfMT","2015","male",3,"3","3",8,5,"1",2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,3,1,1,3,1,1,1,2,3,5,3,5,3,2
"aK1EHC","2013","female",6,"3","6",NA,5,"2",3,2,1,2,1,3,2,1,1,1,2,2,2,1,2,3,3,1,2,2,2,2,3,3,3,3,3,1,1
"nRmfDj","2012","male",6,"5","4",5,7,"1",2,2,1,2,3,3,3,3,1,1,1,2,3,2,1,2,2,2,5,4,3,1,3,2,3,3,4,1,5
"UIpS8N","2013","female",6,"4","3",5,4,"1",1,2,2,2,1,3,1,1,1,1,1,1,2,3,4,2,3,2,2,2,2,3,3,5,4,2,5,5,1
"LgsgHh","2014","female",6,"6","1",6,4,"1",3,2,2,2,1,1,1,2,1,1,1,1,1,3,2,3,1,4,1,1,5,3,3,1,1,1,3,2,1
"fAnF1L","2013","male",6,"6",NA,NA,2,"2",2,1,2,1,2,1,3,1,1,1,2,1,1,1,4,3,3,3,3,1,4,5,5,3,3,1,5,3,3
"4yzsgB","2014","female",2,"6","2",8,5,"1",1,2,1,3,1,1,2,2,2,2,1,1,1,1,2,4,2,3,2,1,2,4,3,2,2,2,3,2,3
"sYYXDY","2012","male",6,"3","5",8,5,"1",3,1,1,2,2,1,1,1,1,2,1,2,1,2,2,1,3,2,3,3,1,2,1,1,2,3,4,2,1
"vLVlIl","2012","female",6,"6","4",7,5,"1",3,1,1,2,3,2,1,1,2,3,2,1,1,1,4,2,3,3,4,1,2,5,2,2,1,2,1,3,2
"nQsREV","2015","male",4,"3","5",4,3,"1",1,2,3,1,1,2,1,3,2,3,1,1,3,1,2,1,3,1,2,1,1,3,3,2,2,4,3,5,3
"9XoPd7","2013","female",6,"6","5",8,5,"1",2,2,1,3,1,1,1,3,1,2,1,1,1,1,1,3,3,2,3,4,3,2,1,3,1,1,1,5,5
"oTe2m4","2013","female",7,"6","3",7,8,"1",1,1,3,2,1,2,1,3,2,2,2,1,1,2,1,4,4,1,2,1,3,3,3,4,4,1,2,3,2
"mCavWR","2014","female",2,"6","4",7,6,"1",3,1,1,1,1,2,2,2,2,1,1,1,2,4,2,3,2,2,3,4,3,3,5,4,2,3,1,5,5
"HdYIke","2015","female",3,"1","4",8,5,"1",1,2,1,2,3,1,1,2,1,2,2,3,1,1,2,4,4,3,3,4,1,2,1,1,3,5,1,1,4
"crURnJ","2015","male",2,"6","5",8,8,"1",1,1,3,1,2,1,1,3,1,2,2,1,1,3,2,3,3,1,3,2,3,2,5,3,4,4,4,4,4
"VJv6iq","2014","female",6,"5","4",7,6,"1",3,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,3,1,3,3,2,2,3,4,3,1,3,4,1
"9TG7yE","2015","female",6,"6","2",8,7,"1",2,3,1,1,2,1,1,1,1,1,3,2,3,2,2,3,2,4,2,2,5,5,5,1,3,1,3,3,2
"P22yBh","2014","female",6,"5","2",8,6,"1",2,1,2,2,3,1,1,1,2,2,2,2,2,3,2,2,4,2,1,3,2,3,3,3,1,2,2,2,1
"KSFlWU","2013","male",3,"3","6",8,5,"1",2,2,1,2,3,3,1,2,3,1,2,2,2,1,1,2,1,3,3,4,3,2,3,5,5,4,3,3,2
"TZshBo","2014","male",6,"6","4",8,7,"1",2,2,1,2,1,1,1,2,2,1,3,3,2,3,3,3,2,3,2,3,2,5,3,3,3,2,5,2,1
"LPnYAl","2014","female",6,"6","2",7,5,"1",2,2,1,1,3,2,1,1,1,1,1,2,2,3,4,4,4,2,3,1,5,1,5,4,3,1,2,5,1
"Ie7ktg","2015","female",4,"3","5",7,6,"1",2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,2,2,1,1,1,2,5,5,1,2,1,1
"YHhtZi","2012","male",2,"6","5",NA,8,"2",1,2,2,1,1,1,1,2,2,1,2,3,1,2,2,1,2,1,2,2,1,5,1,3,2,1,3,2,4
"RO2eT1","2013","male",2,"6","5",8,6,"1",3,1,1,1,2,2,3,2,1,3,3,1,2,4,2,1,2,4,2,3,2,1,2,3,2,1,5,2,3
"IZWWPL","2012","female",6,"3","4",8,8,"1",2,3,1,2,2,3,1,1,2,1,1,1,1,2,3,4,2,1,4,2,4,4,2,5,3,5,2,3,3
"oTjm5T","2013","female",6,"5","3",8,7,"1",3,2,2,2,1,3,1,2,1,1,2,2,1,3,1,3,3,1,4,2,1,4,2,3,2,1,3,1,3
"nRX7Wq","2014","female",4,"5","5",8,8,"1",1,1,2,3,3,1,2,2,1,1,2,2,1,2,1,1,3,2,3,2,3,3,3,3,4,2,4,3,2
"vXH8kA","2012","female",6,"5","5",6,4,"1",1,2,1,3,2,3,1,1,1,2,1,2,1,1,1,2,3,4,1,3,3,2,1,3,1,2,2,5,3
"RKojzB","2012","female",4,"2","5",NA,4,"2",2,1,1,3,2,1,1,3,1,2,1,1,3,3,2,1,1,1,1,2,1,2,2,1,2,4,5,1,1
"YVUTwh","2015","male",6,"5","3",7,6,"1",1,2,1,2,2,1,2,2,1,1,3,1,2,1,3,4,1,3,2,4,5,3,3,2,3,4,2,3,4
"paZ2e7","2014","male",6,"6","4",8,6,"1",3,1,1,1,3,2,1,1,1,2,1,1,1,3,3,2,2,3,2,2,4,3,1,2,2,2,3,1,5
"1FlOhp","2012","female",2,"6","5",7,5,"1",2,1,2,1,3,1,2,1,3,2,1,1,1,1,2,2,2,2,2,4,4,3,3,3,5,1,1,3,2
"sPzLkv","2015","female",6,"3","4",8,7,"1",1,3,1,1,2,1,1,2,2,2,2,2,3,3,2,3,4,1,2,1,2,5,3,1,2,5,2,4,3
"ypad6A","2013","female",4,"6","5",8,7,"1",1,3,3,1,2,1,3,1,1,2,3,1,1,2,4,3,1,3,3,3,5,4,3,1,2,1,1,5,3
"DBzkbD","2013","female",4,"6","2",8,8,"1",2,2,3,2,2,1,1,1,3,1,2,3,1,1,3,2,2,1,1,4,3,3,3,3,1,1,2,3,2
"6u40mj","2014","male",2,"4","4",4,4,"1",1,3,3,1,1,3,3,1,1,1,2,1,1,4,3,4,3,3,2,1,1,4,3,5,2,4,4,3,1
"UBDDeZ","2015","male",6,"6","1",8,6,"1",2,1,2,2,2,2,1,1,2,1,3,1,1,1,3,2,2,4,4,1,2,3,2,2,2,2,1,1,5
"91EkOH","2014","male",6,"6","3",7,5,"1",1,2,2,3,1,1,1,1,3,3,2,1,3,2,1,4,2,3,3,1,2,4,5,1,2,2,2,5,1
"pfqFcp","2012","female",2,"3","4",6,4,"1",1,2,2,1,3,1,1,1,3,3,1,1,3,3,2,1,4,3,2,1,3,3,1,3,2,4,2,1,4
"iAVrf2","2015","female",6,"6","5",7,5,"1",2,1,3,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,2,1,5,4,3,2,2,1,2,6,3
"bUSrvq","2015","male",6,"3","3",8,7,"1",2,1,1,1,3,2,1,2,3,2,1,2,1,3,2,3,1,4,3,2,4,2,1,5,4,5,2,5,3
"ckEhRO","2014","female",6,"5","5",8,7,"1",3,1,1,2,1,1,2,2,3,1,3,1,1,2,4,3,3,2,1,1,1,3,3,3,5,1,4,2,4
"TxHhfg","2012","female",6,"4","5",5,5,"1",2,2,3,1,2,1,3,1,2,2,1,1,1,2,3,3,4,2,2,2,5,2,2,3,1,3,5,3,2
"2CZOn4","2013","male",2,"4",NA,5,4,"1",3,1,1,1,1,3,1,1,1,3,2,1,1,2,3,2,2,1,1,2,4,2,1,4,1,4,4,2,2
"ey3whW","2015","male",6,"6","5",7,6,"1",1,2,2,2,1,1,3,1,1,2,1,2,3,2,1,3,1,2,4,4,5,1,5,3,3,3,2,4,2
"Ke5FjL","2015","male",2,"5","4",5,4,"1",2,2,1,2,1,3,1,2,2,1,1,2,2,2,4,3,1,4,1,3,1,3,2,4,4,3,3,3,2
"6mHdpO","2013","female",2,"6","3",6,4,"1",1,1,2,2,2,2,3,2,3,2,2,1,2,2,4,2,4,1,1,3,5,3,5,2,3,2,2,2,1
"jfIvGR","2012","female",6,"3","5",6,5,"1",1,2,1,1,1,3,2,1,3,2,1,2,2,3,1,3,2,1,3,1,4,2,3,4,3,5,5,4,3
"JPgqIO","2015","female",7,"6","6",NA,8,"2",2,1,1,1,1,3,2,3,2,1,3,3,2,3,3,4,1,3,2,1,3,4,1,4,4,1,4,3,2
"LZkJRA","2015","male",6,"6","4",4,1,"1",1,2,1,1,2,2,2,3,1,2,3,1,3,4,2,3,4,1,1,1,1,4,4,5,4,1,1,3,4
"litb39","2014","male",6,"6","3",8,8,"1",1,1,1,2,2,3,1,2,3,1,1,1,2,3,1,2,4,1,3,4,4,5,2,3,2,4,1,4,1
"quLU30","2012","male",3,"3","1",NA,5,"2",2,1,2,2,1,1,3,1,1,1,2,1,2,2,3,1,4,2,1,3,1,3,1,3,2,3,2,1,1
"XQd33W","2015","female",4,"5",NA,8,7,"1",1,3,1,3,2,1,3,1,1,2,1,3,1,1,2,4,2,3,1,3,4,5,1,5,2,4,2,5,2
"MTuqs2","2015","female",6,"3","5",NA,2,"2",2,2,1,1,1,3,2,2,1,3,1,1,1,2,3,2,1,1,1,1,2,3,2,3,2,5,2,3,2
"ZXQss2","2014","female",6,"6","3",7,6,"1",2,1,1,2,1,1,2,1,2,2,3,2,1,4,3,3,4,3,4,1,6,3,4,3,2,1,5,2,5
"xnFMYc","2014","female",7,"2","3",7,5,"1",2,2,2,2,1,1,2,3,1,1,1,2,1,2,2,1,2,1,2,2,3,1,2,4,4,5,5,4,4
"Yp1aDa","2013","male",6,"3","2",7,6,"1",3,1,3,1,2,3,1,1,2,1,3,2,3,3,2,1,2,2,3,3,2,1,1,4,3,4,4,2,2
"t7HiKf","2012","female",2,"5","4",7,6,"1",3,2,1,3,2,2,1,1,2,1,2,1,2,2,1,3,2,2,1,1,5,1,2,2,4,3,5,2,2
"QAq5C7","2012","male",6,"3","2",4,3,"1",2,2,1,3,1,2,2,3,3,2,2,2,1,2,1,2,1,4,2,3,2,1,1,1,2,1,5,2,3
"byBFNN","2014","female",4,"4","4",NA,6,"2",1,2,1,1,3,1,1,2,1,1,3,1,1,1,3,2,1,1,1,2,1,3,3,3,1,3,2,2,2
"2eWD21","2014","female",2,"5","5",8,5,"1",3,1,2,1,2,2,2,2,1,1,1,1,1,1,4,4,3,3,1,1,2,1,1,4,4,1,2,2,1
"IOaHAN","2013","male",6,"6","5",7,6,"1",1,2,1,1,3,1,1,1,1,1,1,2,3,1,3,3,2,2,3,2,4,2,5,2,2,3,4,2,2
"dJM87I","2015","female",6,"6","4",NA,2,"2",2,1,2,2,2,1,2,1,2,3,3,1,1,2,3,1,2,3,1,2,3,5,5,1,1,1,2,4,1
"RMozdY","2013","female",6,"3","4",4,3,"1",2,2,1,2,1,2,1,2,3,2,1,1,2,2,1,4,1,2,2,2,5,3,2,3,3,5,4,3,4
"2yWTKT","2013","male",6,"5","5",NA,5,"2",1,2,1,2,1,2,3,1,2,1,2,1,1,3,2,4,1,1,1,2,3,2,3,1,3,3,4,3,2
"YPihzy","2014","female",6,"6","2",4,3,"1",1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,3,4,4,5,2,2,3,1,1,3,3,1
"dZUlqr","2013","female",4,"4","5",8,8,"1",3,2,1,1,1,2,2,1,1,1,2,2,2,3,2,4,2,3,1,4,2,2,1,2,2,1,5,3,3
"JArweT","2015","female",6,"5","1",8,8,"1",1,1,1,3,2,1,1,1,1,2,2,2,3,3,1,1,2,2,1,4,2,2,2,1,1,2,3,3,4
"urQMjb","2013","female",6,"4","5",8,6,"1",2,1,1,1,1,3,1,2,1,1,2,3,2,4,2,3,2,3,3,2,1,1,1,2,3,1,2,1,3
"jyz9VL","2013","female",6,"6","5",8,8,"1",3,1,2,2,1,1,3,2,1,1,1,1,2,1,1,3,2,4,2,1,4,5,4,2,1,1,4,4,1
